iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.225051752911,0.230232794784,0.217304781892,0.509615384615,0.505494505495,0.517948717949,0.03289824
10,0.2232056538,0.228273907817,0.214757484207,0.507554945055,0.505494505495,0.516666666667,0.364151347
20,0.221855846488,0.227208916374,0.21367764001,0.508928571429,0.502747252747,0.520512820513,0.710708815001
30,0.220778687598,0.225591124647,0.212816689786,0.506181318681,0.502747252747,0.523076923077,1.053759338
40,0.219833110301,0.222530611691,0.211887540841,0.503434065934,0.494505494505,0.519230769231,1.403008485
50,0.216240633644,0.210842906119,0.204419394789,0.50206043956,0.508241758242,0.517948717949,1.736393799
60,0.215104718223,0.210407155798,0.202787829295,0.506181318681,0.508241758242,0.521794871795,2.113433119
70,0.217979821734,0.211432211777,0.20279024391,0.496565934066,0.497252747253,0.521794871795,2.437582401
80,0.218366970258,0.213402564978,0.204025078555,0.493131868132,0.5,0.516666666667,2.779819371
90,0.218276962531,0.212343923766,0.205314515066,0.496565934066,0.5,0.514102564103,3.11008725
100,0.216976286868,0.210728078288,0.204681557558,0.49793956044,0.508241758242,0.512820512821,3.455601697
110,0.216640649704,0.21050295022,0.204161168837,0.497252747253,0.508241758242,0.516666666667,3.806140767
120,0.215945576317,0.209200869482,0.203067662179,0.495879120879,0.5,0.515384615385,4.15735421
130,0.214438314503,0.208266150718,0.201081824246,0.493818681319,0.502747252747,0.521794871795,4.501834185
140,0.212299782027,0.211481767401,0.199288546882,0.504807692308,0.475274725275,0.524358974359,4.848783557
150,0.211742555058,0.211445659651,0.198902574267,0.506868131868,0.472527472527,0.523076923077,5.175180289
160,0.211482977782,0.211638606204,0.199306683876,0.505494505495,0.478021978022,0.524358974359,5.512697675
170,0.209185919866,0.211589012966,0.19627357483,0.506181318681,0.464285714286,0.533333333333,5.849481868
180,0.207413623176,0.208957527483,0.193758715599,0.510302197802,0.46978021978,0.535897435897,6.184035709
190,0.207421172835,0.209993407768,0.19419921576,0.508241758242,0.478021978022,0.525641025641,6.50783686
200,0.205158063282,0.206734140805,0.19307878935,0.506181318681,0.486263736264,0.537179487179,6.828483985
210,0.204456361001,0.20703180763,0.192875582888,0.504120879121,0.483516483516,0.535897435897,7.166483554
220,0.202993067654,0.207255768505,0.191741413047,0.508928571429,0.478021978022,0.538461538462,7.489931103
230,0.201049545407,0.208171405187,0.190342855996,0.508241758242,0.467032967033,0.538461538462,7.844716123
240,0.199230323728,0.207484451514,0.190106520301,0.508928571429,0.478021978022,0.539743589744,8.167683881
250,0.197692776953,0.205785467511,0.18797368309,0.509615384615,0.494505494505,0.542307692308,8.491073637
260,0.195752318085,0.204867149888,0.186572527761,0.515796703297,0.489010989011,0.54358974359,8.838953177
270,0.194751716475,0.203678499326,0.185809884042,0.519230769231,0.491758241758,0.544871794872,9.160332466
280,0.193191067649,0.202222095454,0.18453065394,0.519917582418,0.497252747253,0.542307692308,9.500012152
290,0.192727057158,0.201678149604,0.184655989731,0.516483516484,0.5,0.542307692308,9.841820626
300,0.191851325659,0.201061517893,0.184259680155,0.521978021978,0.5,0.54358974359,10.167993709
310,0.19121978796,0.200006500128,0.183519164595,0.519917582418,0.508241758242,0.54358974359,10.510266585
320,0.190358220995,0.198980034229,0.181909324149,0.521978021978,0.505494505495,0.542307692308,10.839704489
330,0.189977473499,0.197127988321,0.180975561647,0.519917582418,0.505494505495,0.546153846154,11.169125639
340,0.189412202923,0.197495530225,0.180479739103,0.522664835165,0.505494505495,0.544871794872,11.49675929
350,0.187896190622,0.195398827657,0.178139300563,0.51717032967,0.513736263736,0.539743589744,11.829202123
360,0.187267235585,0.194665071908,0.178183453011,0.520604395604,0.513736263736,0.539743589744,12.176421651
370,0.186087693842,0.193920277353,0.176792697167,0.524725274725,0.513736263736,0.542307692308,12.536425192
380,0.185652099862,0.193806162269,0.176660185187,0.526785714286,0.513736263736,0.539743589744,12.87698854
390,0.184240139284,0.189783243116,0.172719167894,0.535714285714,0.524725274725,0.557692307692,13.206775261
400,0.183465880002,0.189616276378,0.172157334517,0.536401098901,0.516483516484,0.558974358974,13.536210432
410,0.182434657658,0.189535914606,0.171675662339,0.534340659341,0.513736263736,0.561538461538,13.86397472
420,0.182058157611,0.190436657724,0.171881409482,0.532967032967,0.516483516484,0.552564102564,14.206883324
430,0.181647303884,0.190404653496,0.171333660928,0.538461538462,0.527472527473,0.557692307692,14.584461596
440,0.180902270395,0.190085512046,0.170981091757,0.541895604396,0.521978021978,0.55641025641,14.931774143
450,0.182436787256,0.193341249479,0.170885238668,0.543956043956,0.5,0.552564102564,15.278240646
460,0.179347149187,0.190487104663,0.169119103085,0.543269230769,0.510989010989,0.55641025641,15.608520491
470,0.179020501295,0.190036495838,0.16885970075,0.54739010989,0.513736263736,0.561538461538,15.940498925
480,0.17764621794,0.192655216171,0.16820555189,0.54739010989,0.508241758242,0.562820512821,16.277554304
490,0.176328809752,0.191103257261,0.167122156124,0.559752747253,0.505494505495,0.565384615385,16.612389929
500,0.175164625804,0.189465444538,0.166163697977,0.557005494505,0.502747252747,0.567948717949,16.947908477
510,0.174789238472,0.188727230375,0.166522430504,0.557692307692,0.510989010989,0.574358974359,17.281895665
520,0.173698608725,0.186496059726,0.165504291182,0.558379120879,0.508241758242,0.576923076923,17.614162381
530,0.17319237446,0.184903752398,0.16606344679,0.557005494505,0.519230769231,0.579487179487,17.98035155
540,0.172722605416,0.184133323739,0.165476059208,0.557005494505,0.524725274725,0.582051282051,18.332559111
550,0.172480630418,0.184147237135,0.165476257851,0.559752747253,0.524725274725,0.582051282051,18.669223614
560,0.172152240964,0.183369437038,0.164948202461,0.558379120879,0.527472527473,0.587179487179,19.052536446
570,0.171525109184,0.184110239326,0.163871893261,0.563186813187,0.532967032967,0.580769230769,19.403118947
580,0.171371462533,0.184711009458,0.163689042391,0.567994505495,0.532967032967,0.576923076923,19.75444148
590,0.170835615981,0.182922368551,0.162214766665,0.567994505495,0.535714285714,0.585897435897,20.105649449
600,0.16872119231,0.17965140463,0.16427338743,0.576923076923,0.546703296703,0.579487179487,20.461125256
610,0.168220126665,0.179407000638,0.163699515825,0.580357142857,0.554945054945,0.582051282051,20.810341228
620,0.168069492974,0.178323082091,0.163337156336,0.582417582418,0.552197802198,0.579487179487,21.145547211
630,0.167532392464,0.178093431506,0.162418104269,0.57967032967,0.552197802198,0.584615384615,21.498081018
640,0.167259446369,0.177847282,0.161716536925,0.574175824176,0.554945054945,0.59358974359,21.851827804
650,0.166682982987,0.176714566674,0.161545934653,0.572802197802,0.554945054945,0.597435897436,22.194710419
660,0.165980061038,0.175402268657,0.162031275252,0.575549450549,0.552197802198,0.596153846154,22.52919518
670,0.165778335434,0.174397123114,0.162426643651,0.576923076923,0.543956043956,0.592307692308,22.865686984
680,0.165432559459,0.174052312609,0.162087763318,0.576236263736,0.543956043956,0.589743589744,23.189408453
690,0.164521747346,0.173121296615,0.161366488267,0.583791208791,0.538461538462,0.589743589744,23.540789464
700,0.164303310711,0.172832951692,0.16174855155,0.585851648352,0.546703296703,0.585897435897,23.878356779
710,0.164009864127,0.17286311033,0.161305798098,0.585851648352,0.538461538462,0.585897435897,24.214845506
720,0.163780826709,0.173393572423,0.161594136049,0.589972527473,0.535714285714,0.584615384615,24.546355777
730,0.163704458127,0.173040916228,0.161041561286,0.589285714286,0.535714285714,0.587179487179,24.885830622
740,0.163415763778,0.17293089219,0.16043174416,0.589972527473,0.538461538462,0.591025641026,25.234015887
750,0.163399248226,0.172046279693,0.16233299729,0.591346153846,0.538461538462,0.594871794872,25.586272351
760,0.162989311751,0.172355686886,0.161710777561,0.588598901099,0.538461538462,0.592307692308,25.926582979
770,0.162489188147,0.171583687987,0.161682830759,0.587912087912,0.549450549451,0.589743589744,26.259531591
780,0.162246438674,0.171243677069,0.161223577716,0.589285714286,0.549450549451,0.588461538462,26.602061632
790,0.161925847045,0.172020286942,0.161495746192,0.592032967033,0.543956043956,0.588461538462,26.952666703
800,0.161034040065,0.173471955473,0.161603922879,0.597527472527,0.541208791209,0.585897435897,27.294543572
810,0.160956074487,0.170935593102,0.162130155927,0.596840659341,0.549450549451,0.587179487179,27.619072442
820,0.160380231877,0.170270756869,0.161119125828,0.597527472527,0.554945054945,0.591025641026,27.960229455
830,0.160442306959,0.168775480242,0.161857809531,0.598214285714,0.563186813187,0.584615384615,28.283879451
840,0.15973556789,0.169797537191,0.162206307734,0.596840659341,0.56043956044,0.579487179487,28.648070121
850,0.15900628121,0.168971248916,0.161504321615,0.599587912088,0.56043956044,0.582051282051,28.981714309
860,0.160059509188,0.170094734552,0.16046428328,0.59478021978,0.56043956044,0.594871794872,29.322741031
870,0.157682200672,0.167535347103,0.159420019232,0.599587912088,0.563186813187,0.59358974359,29.650673913
880,0.157702710187,0.167630813736,0.159427613248,0.599587912088,0.563186813187,0.59358974359,29.998266195
890,0.159047368523,0.169769447258,0.160473504963,0.595467032967,0.557692307692,0.587179487179,30.336031854
900,0.157310299372,0.167967365137,0.158859760613,0.600274725275,0.565934065934,0.594871794872,30.664880543
910,0.157236336124,0.166948395453,0.158781985959,0.603021978022,0.571428571429,0.594871794872,30.997325087
920,0.156524532991,0.165611342168,0.159655536163,0.605769230769,0.576923076923,0.589743589744,31.328620938
930,0.156509562291,0.165591178724,0.15962991042,0.605769230769,0.574175824176,0.589743589744,31.682408762
940,0.155695432196,0.165602876434,0.158328095799,0.610576923077,0.565934065934,0.59358974359,32.03030882
950,0.155533516869,0.165600619726,0.158312829211,0.60782967033,0.563186813187,0.59358974359,32.360921409
960,0.154926231643,0.164090033938,0.15815439941,0.608516483516,0.554945054945,0.591025641026,32.699766335
970,0.154139703358,0.165718582822,0.158034777997,0.612637362637,0.552197802198,0.592307692308,33.047817542
980,0.15373641074,0.165141815377,0.15756106146,0.613324175824,0.549450549451,0.589743589744,33.378389434
