iterations,fitness,time,fevals
0,558.0,11.172718409,1000
10,578.0,22.280209042,2100
20,632.0,32.8571879,3200
30,651.0,43.122006403,4300
40,679.0,53.001830587,5400
50,711.0,62.722328747,6500
60,721.0,72.168983369,7600
70,729.0,81.463506758,8700
80,747.0,90.592305448,9800
90,747.0,99.748272261,10900
100,750.0,108.73508848,12000
110,745.0,117.79980911,13100
120,751.0,126.783242864,14200
130,759.0,135.702783907,15300
140,757.0,144.61079393,16400
150,759.0,153.389200598,17500
160,757.0,162.174570883,18600
170,761.0,170.926368555,19700
180,755.0,179.814135427,20800
190,754.0,188.718517105,21900
200,763.0,197.628331382,23000
210,753.0,206.454222849,24100
220,761.0,215.371145397,25200
230,765.0,224.026572747,26300
240,757.0,233.150642279,27400
250,761.0,242.053076416,28500
260,755.0,250.942843152,29600
270,757.0,259.986439706,30700
280,757.0,268.952951903,31800
290,749.0,277.996120648,32900
300,757.0,286.822046996,34000
310,757.0,295.831837369,35100
320,757.0,304.733666554,36200
330,759.0,313.498844984,37300
340,759.0,322.25936607,38400
350,757.0,331.107480374,39500
360,757.0,339.988529167,40600
370,761.0,348.992968331,41700
380,765.0,357.928268562,42800
390,763.0,366.962714234,43900
400,761.0,375.827708374,45000
410,761.0,384.715660596,46100
420,765.0,393.605372959,47200
430,763.0,402.398045756,48300
440,763.0,411.187630186,49400
450,765.0,419.919471966,50500
460,759.0,428.765487918,51600
470,764.0,437.810481778,52700
480,765.0,446.75906462,53800
490,769.0,455.641424199,54900
500,763.0,464.475377018,56000
510,765.0,473.19435442,57100
520,763.0,482.02982492,58200
530,769.0,490.919234635,59300
540,763.0,499.907825015,60400
550,763.0,508.784123789,61500
560,767.0,517.698907633,62600
570,767.0,526.400530539,63700
580,771.0,535.220382061,64800
590,775.0,543.925100516,65900
600,771.0,552.726753892,67000
610,769.0,561.651339052,68100
620,771.0,570.470131139,69200
630,775.0,579.092493023,70300
640,775.0,587.828383091,71400
650,771.0,596.61208078,72500
660,769.0,605.445243981,73600
670,771.0,614.266861114,74700
680,773.0,623.081197963,75800
690,777.0,631.878665577,76900
700,773.0,640.563605966,78000
710,781.0,649.288853803,79100
720,771.0,658.033045289,80200
730,777.0,666.959239437,81300
740,775.0,675.727217608,82400
750,777.0,684.645889353,83500
760,779.0,693.375192659,84600
770,771.0,702.242176062,85700
780,777.0,710.99938342,86800
790,769.0,719.921377785,87900
800,775.0,728.68042086,89000
810,771.0,737.611037757,90100
820,777.0,746.570126383,91200
830,773.0,755.520010779,92300
840,771.0,764.379987476,93400
850,777.0,773.359989521,94500
860,779.0,782.256679863,95600
870,775.0,791.168782288,96700
880,773.0,800.013188911,97800
890,783.0,808.874838888,98900
900,775.0,817.943650552,100000
910,773.0,826.78858142,101100
920,779.0,835.627910754,102200
930,773.0,844.596772654,103300
940,778.0,853.45281118,104400
950,779.0,862.241644976,105500
960,781.0,871.053272365,106600
970,779.0,879.812202588,107700
980,783.0,888.630007396,108800
990,783.0,897.341803003,109900
1000,781.0,906.168133222,111000
1010,781.0,914.921517995,112100
1020,781.0,923.915516693,113200
1030,781.0,932.59524916,114300
1040,784.0,941.477428519,115400
1050,775.0,950.301954484,116500
1060,781.0,959.194832158,117600
1070,791.0,967.997726557,118700
1080,787.0,976.873721317,119800
1090,784.0,985.724224993,120900
1100,785.0,994.560035415,122000
1110,779.0,1003.45169498,123100
1120,781.0,1012.2578118,124200
1130,791.0,1021.1129629,125300
1140,789.0,1029.96696976,126400
1150,783.0,1038.73073173,127500
1160,787.0,1047.83065756,128600
1170,791.0,1056.62524404,129700
1180,789.0,1065.46629727,130800
1190,789.0,1074.36970295,131900
1200,787.0,1083.21058792,133000
1210,789.0,1092.04901958,134100
1220,783.0,1100.91184902,135200
1230,791.0,1109.83509843,136300
