iterations,fitness,time,fevals
0,556.0,11.287118284,1000
10,584.0,22.272184622,2100
20,599.0,33.078428315,3200
30,632.0,43.837718979,4300
40,640.0,54.292286538,5400
50,660.0,64.550506652,6500
60,678.0,74.77827877,7600
70,685.0,84.821375016,8700
80,718.0,94.704305008,9800
90,720.0,104.587744884,10900
100,724.0,114.199037071,12000
110,746.0,123.605399634,13100
120,746.0,133.075920621,14200
130,754.0,142.366961005,15300
140,762.0,151.614724581,16400
150,766.0,160.875444867,17500
160,758.0,170.197563505,18600
170,784.0,179.35901182,19700
180,770.0,188.430075725,20800
190,762.0,197.743711698,21900
200,768.0,206.999997265,23000
210,760.0,216.183082274,24100
220,774.0,225.379385262,25200
230,764.0,234.544565539,26300
240,774.0,243.61010246,27400
250,772.0,252.804932223,28500
260,762.0,262.018560639,29600
270,762.0,271.432711317,30700
280,778.0,280.547150861,31800
290,776.0,289.713810859,32900
300,772.0,298.921421559,34000
310,768.0,308.002910541,35100
320,784.0,317.204185489,36200
330,780.0,326.220097538,37300
340,792.0,335.236223663,38400
350,786.0,344.236329333,39500
360,778.0,353.321417933,40600
370,784.0,362.652192958,41700
380,772.0,371.880085793,42800
390,780.0,381.247709542,43900
400,774.0,390.28994333,45000
410,784.0,399.538106673,46100
420,776.0,408.654127847,47200
430,775.0,417.552884396,48300
440,778.0,426.745829883,49400
450,782.0,435.918617713,50500
460,794.0,444.961004022,51600
470,776.0,453.920367595,52700
480,786.0,463.063189612,53800
490,786.0,472.276989699,54900
500,782.0,481.658365248,56000
510,784.0,490.930654172,57100
520,776.0,500.052560034,58200
530,779.0,509.166981453,59300
540,802.0,518.269309304,60400
550,788.0,527.340248389,61500
560,788.0,536.533888767,62600
570,792.0,545.414551471,63700
580,774.0,554.504490289,64800
590,788.0,563.551950123,65900
600,793.0,572.528921936,67000
610,796.0,581.562544477,68100
620,786.0,590.539384972,69200
630,784.0,599.585017981,70300
640,792.0,608.580313787,71400
650,786.0,617.707490837,72500
660,780.0,626.821766234,73600
670,789.0,636.099783222,74700
680,780.0,645.166037605,75800
690,782.0,654.292647319,76900
700,772.0,663.489548761,78000
710,778.0,672.727163575,79100
720,791.0,681.75647485,80200
730,776.0,690.906090181,81300
740,776.0,700.161724288,82400
750,784.0,709.26096001,83500
760,778.0,718.253506345,84600
770,776.0,727.384515897,85700
780,776.0,736.686545957,86800
790,770.0,746.061524883,87900
800,776.0,755.222819309,89000
810,780.0,764.462544444,90100
820,784.0,773.721362328,91200
830,784.0,782.867827395,92300
840,780.0,792.20306484,93400
850,782.0,801.364253596,94500
860,790.0,810.614476649,95600
870,782.0,819.618218186,96700
880,784.0,828.656674187,97800
890,786.0,837.787546607,98900
900,782.0,847.089091406,100000
910,790.0,856.20487012,101100
920,788.0,865.438871636,102200
930,794.0,874.493842587,103300
940,790.0,883.542476076,104400
950,782.0,892.846447181,105500
960,790.0,901.882912893,106600
970,801.0,911.145457268,107700
980,789.0,920.444851734,108800
990,807.0,929.625430074,109900
1000,789.0,938.756578809,111000
1010,785.0,948.16132315,112100
1020,787.0,957.333752591,113200
1030,801.0,966.776979266,114300
1040,789.0,975.92150705,115400
1050,787.0,985.185520204,116500
1060,791.0,994.328730361,117600
1070,789.0,1003.81550606,118700
1080,795.0,1013.03849635,119800
1090,789.0,1022.19338561,120900
1100,791.0,1031.42112353,122000
1110,785.0,1040.60664066,123100
1120,795.0,1049.79917235,124200
1130,793.0,1059.08989915,125300
1140,799.0,1068.16253408,126400
1150,797.0,1077.32061361,127500
1160,797.0,1086.62385187,128600
1170,789.0,1095.74576149,129700
1180,797.0,1104.84166639,130800
1190,783.0,1113.86141573,131900
1200,779.0,1123.0160803,133000
1210,791.0,1132.30712479,134100
1220,800.0,1141.46249486,135200
1230,779.0,1150.59510622,136300
1240,783.0,1159.7986953,137400
1250,775.0,1169.05490256,138500
1260,771.0,1178.43421258,139600
1270,763.0,1187.53884739,140700
1280,779.0,1196.84697177,141800
1290,773.0,1205.96523527,142900
1300,765.0,1215.13630946,144000
1310,771.0,1224.6671297,145100
1320,778.0,1234.06555163,146200
1330,803.0,1243.34302453,147300
1340,785.0,1252.63648028,148400
1350,785.0,1261.6707789,149500
1360,781.0,1270.95972777,150600
1370,787.0,1280.1916046,151700
1380,783.0,1289.39152875,152800
1390,795.0,1298.52530146,153900
1400,795.0,1307.58479057,155000
1410,795.0,1316.91523935,156100
1420,785.0,1326.32371052,157200
1430,793.0,1335.39163579,158300
1440,793.0,1344.69867303,159400
1450,793.0,1353.82884304,160500
1460,799.0,1363.12567065,161600
1470,797.0,1372.29730329,162700
1480,797.0,1381.4889568,163800
1490,796.0,1390.41103392,164900
1500,807.0,1399.36303035,166000
1510,803.0,1408.62003475,167100
1520,797.0,1417.69898013,168200
1530,789.0,1426.8006295,169300
1540,785.0,1435.85064696,170400
1550,803.0,1444.94553927,171500
1560,803.0,1454.108442,172600
1570,801.0,1463.28183205,173700
1580,799.0,1472.30041081,174800
1590,809.0,1481.46418728,175900
1600,805.0,1490.41059893,177000
1610,811.0,1499.43917462,178100
1620,811.0,1508.51482098,179200
1630,809.0,1517.54855363,180300
1640,809.0,1526.72221384,181400
1650,804.0,1535.7464256,182500
1660,805.0,1544.9284604,183600
1670,809.0,1554.21526031,184700
1680,805.0,1563.37967251,185800
1690,815.0,1572.52828381,186900
1700,801.0,1581.75582236,188000
